Month,Product_Group_Code,Product_Group,SKU_Description,SKU,Model,Forecast_Units,PI80_Lower_Units,PI80_Upper_Units,PI95_Lower_Units,PI95_Upper_Units,Interval_Method,Demand_Profile,Q10_Units,Q20_Units,Q30_Units,Q40_Units,Q50_Units,Q60_Units,Q70_Units,Q80_Units,Q90_Units
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,503.8747122828022,457.54675024717056,550.2026743184339,433.02220856135375,574.7272160042506,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,537.1365286846428,490.8085666490112,583.4644907202745,466.2840249631944,607.9890324060913,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,548.5874075159325,502.2594454803008,594.9153695515641,477.734903794484,619.4399112373809,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,531.8804041916551,485.55244215602346,578.2083662272868,461.02790047020665,602.7329079131035,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,528.2575386574748,481.9295766218432,574.5855006931065,457.4050349360264,599.1100423789233,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,542.4616960273258,496.1337339916942,588.7896580629575,471.6091923058774,613.3141997487743,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,449.0372959541437,402.7093339185121,495.3652579897754,378.18479223269526,519.8897996755921,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,444.5032697258352,398.1753076902036,490.8312317614668,373.6507660043867,515.3557734472837,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,442.78587297693053,396.4579109412989,489.11383501256216,371.933369255482,513.638376698379,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,461.2783255067296,414.95036347109794,507.6062875423612,390.4258217852811,532.1308292281781,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,
