Product_Group_Code,Product_Group,SKU_Description,SKU,Trend_Strength,Seasonal_Strength,Remainder_SD,Seasonal_Cycles,Evidence_Quality,Demand_Profile
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,0.5338948141290724,0.7207229856784508,23.8553346522078,3,Limited: fewer than four annual cycles,Seasonal
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,0.17648413777566996,0.5440305274447597,39.29376674063424,3,Limited: fewer than four annual cycles,Seasonal
BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,0.011673794333302845,0.5527371535155792,50.21710991224899,3,Limited: fewer than four annual cycles,Seasonal
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,0.5184901168315843,0.6158005644739424,48.56953836801252,3,Limited: fewer than four annual cycles,Seasonal
BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,0.2539641445509817,0.7238448072626842,60.27677074293836,3,Limited: fewer than four annual cycles,Seasonal
BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,0.3554872345750365,0.7281488319527482,57.96371706982884,3,Limited: fewer than four annual cycles,Seasonal
BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,0.1843674386766434,0.60678417712745,83.80625863045832,3,Limited: fewer than four annual cycles,Seasonal
BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,0.3537693228907238,0.647277298376089,106.93359120569356,3,Limited: fewer than four annual cycles,Seasonal
CNV,Conveying Components,Conveying Components Core,CNV-01,0.38726343467877455,0.8275701739354483,20.91626038126324,3,Limited: fewer than four annual cycles,Seasonal
CNV,Conveying Components,Conveying Components Compact,CNV-02,0.05136536268943326,0.5867337487455939,43.36531765265858,3,Limited: fewer than four annual cycles,Seasonal
CNV,Conveying Components,Conveying Components Standard,CNV-03,0.027892229992223738,0.7685937305108334,38.20171684603867,3,Limited: fewer than four annual cycles,Seasonal
CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,0.0564090806630233,0.6157476985473642,52.70522724989459,3,Limited: fewer than four annual cycles,Seasonal
CNV,Conveying Components,Conveying Components Precision,CNV-05,0,0.7122001556432658,55.797927660577585,3,Limited: fewer than four annual cycles,Seasonal
CNV,Conveying Components,Conveying Components High Capacity,CNV-06,0.17047699227151192,0.7484069580905147,57.05921099137928,3,Limited: fewer than four annual cycles,Seasonal
CNV,Conveying Components,Conveying Components Service Kit,CNV-07,0,0.588152165845903,95.32581268078327,3,Limited: fewer than four annual cycles,Seasonal
CNV,Conveying Components,Conveying Components Premium,CNV-08,0.11502096121675687,0.8472460645415933,81.16918176450494,3,Limited: fewer than four annual cycles,Seasonal
CVL,Control Valves,Control Valves Core,CVL-01,0.044065169033283724,0.5287807817081958,20.95560896665954,3,Limited: fewer than four annual cycles,Volatile
CVL,Control Valves,Control Valves Compact,CVL-02,0,0.5240549131250816,23.01433754700108,3,Limited: fewer than four annual cycles,Volatile
CVL,Control Valves,Control Valves Standard,CVL-03,0.09564503217843823,0.42267121160563237,28.011298447877607,3,Limited: fewer than four annual cycles,Volatile
CVL,Control Valves,Control Valves Heavy Duty,CVL-04,0.1628669830172802,0.43110186554072116,28.08270282177742,3,Limited: fewer than four annual cycles,Volatile
CVL,Control Valves,Control Valves Precision,CVL-05,0.076044712807397,0.7091146004014794,25.62138598908595,3,Limited: fewer than four annual cycles,Volatile
