Product_Group_Code,Product_Group,SKU_Description,SKU,Model,ME,RMSE,MAE,MASE,RMSSE,WAPE,Coverage_80,Coverage_95,Mean_PI80_Width,Mean_PI95_Width,Mean_Pinball_Loss,Quantile_Crossings,Error_Sum,Absolute_Error_Sum,Squared_Error_Sum,Actual_Units_Sum,Covered_80_Count,Covered_95_Count,Evaluation_Origins,Evaluation_Points,Evaluation_Horizon,Demand_Profile,Within_2pct_of_Best,Complexity_Rank,Raw_Best_Model,Selected_Model,Selected,Near_Tie,Raw_Winner_Margin_Pct,Selection_Rationale,RMSE_Rank,Trend_Strength,Seasonal_Strength,Seasonal_Cycles,Evidence_Quality,Calibration_Review,Review_Required,Review_Note
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,31.90476190476191,49.70819612402729,40.523809523809526,0.9122188228636996,0.9383834757098348,0.0864661654135338,0.6666666666666666,1.0,137.61931013447955,210.47057230678456,,,1340.0,1702.0,103778.0,19684.0,28,42,7,42,6,Seasonal,True,1,Seasonal_Naive,Seasonal_Naive,True,True,0.003275579559194645,Lowest rolling-origin RMSE,1,0.5338948141290724,0.7207229856784508,3,Limited: fewer than four annual cycles,False,True,Near-tied candidate models; planner judgment is material; Only three annual cycles; seasonal evidence is limited
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,-8.119047619047619,66.58381756782019,54.595238095238095,1.0740415276424091,1.0196186425783742,0.0994750770031668,0.7619047619047619,0.9047619047619048,168.28045580497343,257.3627480526484,,,-341.0,2293.0,186203.0,23051.0,32,38,7,42,6,Seasonal,True,1,Seasonal_Naive,Seasonal_Naive,True,False,0.08785304514102689,Lowest rolling-origin RMSE,1,0.1764841377756699,0.5440305274447597,3,Limited: fewer than four annual cycles,False,False,Only three annual cycles; seasonal evidence is limited
BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,-3.7135538353272426,59.06909561756136,44.404744702478695,0.8090468407364325,0.8877998053100908,0.06957394902276,0.8571428571428571,1.0,209.6018177061038,320.55831762299545,,,-155.96926108374396,1864.999277504105,146544.63839721744,26806.0,36,42,7,42,6,Seasonal,True,1,Mean,Mean,True,False,0.10897294610686226,Lowest rolling-origin RMSE,1,0.0116737943333028,0.5527371535155792,3,Limited: fewer than four annual cycles,False,False,Only three annual cycles; seasonal evidence is limited
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,29.285714285714285,100.67226411432677,65.95238095238095,0.948406324102222,1.2352383630420574,0.08468358300214,0.8571428571428571,0.9523809523809524,217.27068087525268,332.28683172887156,,,1230.0,2770.0,425666.0,32710.0,36,40,7,42,6,Seasonal,True,1,ARIMA,Seasonal_Naive,True,True,0.00606871104270593,Simplest model within 2% of lowest rolling-origin RMSE,2,0.5184901168315843,0.6158005644739424,3,Limited: fewer than four annual cycles,False,True,Near-tied candidate models; planner judgment is material; Only three annual cycles; seasonal evidence is limited
BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,4.763251657411434,133.3700353527576,113.17352505910048,1.141521391401077,1.172750417610401,0.1227732217295748,0.6904761904761905,0.9047619047619048,301.9592346989409,461.8067978854218,,,200.0565696112795,4753.288052482219,747077.7858598245,38716.0,29,38,7,42,6,Seasonal,True,4,ARIMA,ARIMA,True,False,0.03136318321640691,Lowest rolling-origin RMSE,1,0.2539641445509817,0.7238448072626842,3,Limited: fewer than four annual cycles,False,False,Only three annual cycles; seasonal evidence is limited
BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,58.19047619047619,96.15562782232124,81.28571428571429,1.2552097819059014,1.26916602767193,0.0725071678878623,0.6190476190476191,0.8809523809523809,193.9387768489676,296.60376378862,,,2444.0,3414.0,388328.0,47085.0,26,37,7,42,6,Seasonal,True,1,Seasonal_Naive,Seasonal_Naive,True,False,0.02253601333025203,Lowest rolling-origin RMSE,1,0.3554872345750365,0.7281488319527482,3,Limited: fewer than four annual cycles,True,True,Empirical 80% interval coverage needs review; Only three annual cycles; seasonal evidence is limited
BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,18.452380952380945,122.24633600507896,112.92857142857144,0.9584265327409612,0.8666312762315442,0.0845786226327615,0.9047619047619048,1.0,361.9016289564435,553.480778902237,,,775.0,4743.0,627655.0,56078.0,38,42,7,42,6,Seasonal,True,1,Seasonal_Naive,Seasonal_Naive,True,False,0.05910969982381632,Lowest rolling-origin RMSE,1,0.1843674386766434,0.60678417712745,3,Limited: fewer than four annual cycles,False,False,Only three annual cycles; seasonal evidence is limited
BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,143.10654144888136,201.2838369764166,172.91535918287153,0.9640520924161988,0.8993755768650473,0.1069910441473887,0.7380952380952381,1.0,532.4343810718434,814.2881169110236,,,6010.474740853011,7262.4450856806,1701637.6871738432,67879.0,31,42,7,42,6,Seasonal,True,1,TiRex2,Mean,True,True,0.004046462642640117,Simplest model within 2% of lowest rolling-origin RMSE,2,0.3537693228907238,0.647277298376089,3,Limited: fewer than four annual cycles,False,True,Near-tied candidate models; planner judgment is material; Only three annual cycles; seasonal evidence is limited
CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,33.5,47.2206068818023,39.16666666666667,1.3734769147108958,1.4245835364365484,0.1105362182502351,0.7619047619047619,0.8095238095238095,98.52231454351532,150.67687744328725,,,1407.0,1645.0,93651.0,14882.0,32,34,7,42,6,Seasonal,True,1,Seasonal_Naive,Seasonal_Naive,True,True,0.01033796552743741,Lowest rolling-origin RMSE,1,0.3872634346787745,0.8275701739354483,3,Limited: fewer than four annual cycles,False,True,Near-tied candidate models; planner judgment is material; Only three annual cycles; seasonal evidence is limited
CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,-8.738095238095234,69.89090137663196,58.11904761904762,1.0268068172865454,1.0725567886159508,0.1428989579674511,0.6428571428571429,0.9285714285714286,169.22822518391274,258.81223623425075,,,-367.0,2441.0,205159.0,17082.0,27,39,7,42,6,Seasonal,True,1,Seasonal_Naive,Seasonal_Naive,True,False,0.038607997922370366,Lowest rolling-origin RMSE,1,0.0513653626894332,0.5867337487455939,3,Limited: fewer than four annual cycles,True,True,Empirical 80% interval coverage needs review; Only three annual cycles; seasonal evidence is limited
