Product_Group_Code,Product_Group,SKU_Description,SKU,Model,ME,RMSE,MAE,MASE,RMSSE,WAPE,Coverage_80,Coverage_95,Mean_PI80_Width,Mean_PI95_Width,Mean_Pinball_Loss,Quantile_Crossings,Error_Sum,Absolute_Error_Sum,Squared_Error_Sum,Actual_Units_Sum,Covered_80_Count,Covered_95_Count,Evaluation_Origins,Evaluation_Points,Evaluation_Horizon,Demand_Profile,Within_2pct_of_Best,Complexity_Rank,Raw_Best_Model,Selected_Model,Selected,Near_Tie,Raw_Winner_Margin_Pct,Selection_Rationale,RMSE_Rank
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,31.90476190476191,49.70819612402729,40.523809523809526,0.9122188228636996,0.9383834757098348,0.0864661654135338,0.6666666666666666,1.0,137.61931013447955,210.47057230678456,,,1340.0,1702.0,103778.0,19684.0,28,42,7,42,6,Seasonal,True,1,Seasonal_Naive,Seasonal_Naive,True,True,0.003275579559194645,Lowest rolling-origin RMSE,1
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,14.815613674907034,49.87101927517559,41.945495283914575,0.9405622285999984,0.940413916013424,0.0894996343184521,0.8095238095238095,0.9047619047619048,115.17670072253422,176.14756311298746,,,622.255774346095,1761.7108019244129,104458.9796688873,19684.0,34,38,7,42,6,Seasonal,True,4,Seasonal_Naive,Seasonal_Naive,False,True,0.003275579559194645,Candidate,2
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Mean,33.84448303931061,69.34463781548665,57.89470969643382,1.3018441902213118,1.3100551815641317,0.1235306750279526,0.5714285714285714,0.6190476190476191,114.21695144931604,174.6797532641526,,,1421.468287651045,2431.5778072502208,201964.50933796284,19684.0,24,26,7,42,6,Seasonal,False,1,Seasonal_Naive,Seasonal_Naive,False,True,0.003275579559194645,Candidate,3
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,2.2765684581938244,71.6549987862277,64.15940130324591,1.423709765387901,1.3368274302429195,0.1368977268205816,0.5714285714285714,,130.49059041341147,,24.367522910789205,0.0,95.61587524414062,2694.694854736328,215646.43174428027,19684.0,24,0,7,42,6,Seasonal,False,5,Seasonal_Naive,Seasonal_Naive,False,True,0.003275579559194645,Candidate,4
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,-34.33198449041035,86.59951889425706,75.80825103305122,1.662567957091,1.5961441668249623,0.1617530249638361,0.7857142857142857,0.9285714285714286,204.01055325405684,312.0072165602815,,,-1441.9433485972345,3183.9465433881505,314978.020254105,19684.0,33,39,7,42,6,Seasonal,False,3,Seasonal_Naive,Seasonal_Naive,False,True,0.003275579559194645,Candidate,5
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Naive,-34.33333333333334,86.60089079053567,75.80952380952382,1.662595645202678,1.5961694099178316,0.1617557407031091,0.6428571428571429,0.8571428571428571,172.0010493165218,263.0529047968675,,,-1442.0,3184.0,314988.0,19684.0,27,36,7,42,6,Seasonal,False,1,Seasonal_Naive,Seasonal_Naive,False,True,0.003275579559194645,Candidate,6
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,-51.390766381156205,99.07302478968764,84.01768806770522,1.8345671709676403,1.8210857880176363,0.1792696046963837,0.5952380952380952,0.8571428571428571,186.5836204572818,285.3550227968849,,,-2158.41218800856,3528.7428988436186,412249.4981210786,19684.0,25,36,7,42,6,Seasonal,False,2,Seasonal_Naive,Seasonal_Naive,False,True,0.003275579559194645,Candidate,7
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,-8.119047619047619,66.58381756782019,54.595238095238095,1.0740415276424091,1.0196186425783742,0.0994750770031668,0.7619047619047619,0.9047619047619048,168.28045580497343,257.3627480526484,,,-341.0,2293.0,186203.0,23051.0,32,38,7,42,6,Seasonal,True,1,Seasonal_Naive,Seasonal_Naive,True,False,0.08785304514102689,Lowest rolling-origin RMSE,1
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Mean,-2.084996792115029,72.4334086982678,55.005108627005185,1.0802432016342212,1.1076993828925004,0.1002218802799972,0.6904761904761905,0.7857142857142857,148.4383506625336,227.01686693305973,,,-87.56986526883111,2310.2145623342176,220357.14521731247,23051.0,29,33,7,42,6,Seasonal,False,1,Seasonal_Naive,Seasonal_Naive,False,False,0.08785304514102689,Candidate,2
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,-21.62176513671875,74.2895705532803,56.540201822916664,1.1070243033188645,1.1306108171411229,0.1030188918729122,0.7619047619047619,,175.2969018845331,,22.541401155663543,0.0,-908.1141357421876,2374.6884765625,231795.49230561405,23051.0,32,0,7,42,6,Seasonal,False,5,Seasonal_Naive,Seasonal_Naive,False,False,0.08785304514102689,Candidate,3
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,ARIMA,-29.28309495611628,74.43811161859458,61.84796821334269,1.2192330148566484,1.1390989540969592,0.1126898904585654,0.5714285714285714,0.8571428571428571,150.67799827628005,230.44211237695944,,,-1229.8899881568832,2597.614664960392,232723.36337637852,23051.0,24,36,7,42,6,Seasonal,False,4,Seasonal_Naive,Seasonal_Naive,False,False,0.08785304514102689,Candidate,4
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,ETS,-44.26329047641189,87.38356662619269,67.71302450205758,1.3246198655953976,1.3271239488311657,0.1233762973010463,0.7619047619047619,0.9047619047619048,197.9026045746208,302.6659151620609,,,-1859.0582000092984,2843.9470290864183,320707.2840851988,23051.0,32,38,7,42,6,Seasonal,False,3,Seasonal_Naive,Seasonal_Naive,False,False,0.08785304514102689,Candidate,5
