Product_Group_Code,Product_Group,SKU_Description,Month,SKU,Model,Forecast_Units,PI80_Lower_Units,PI80_Upper_Units,PI95_Lower_Units,PI95_Upper_Units,Interval_Method,Demand_Profile,Q10_Units,Q20_Units,Q30_Units,Q40_Units,Q50_Units,Q60_Units,Q70_Units,Q80_Units,Q90_Units
BRG,Industrial Bearings,Industrial Bearings Core,2026-07-01,BRG-01,TiRex2,469.8708801269531,421.3070373535156,523.8364868164062,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,421.3070373535156,436.3240966796875,448.2496643066406,459.24560546875,469.8708801269531,480.3711853027344,491.412841796875,504.40802001953125,523.8364868164062
BRG,Industrial Bearings,Industrial Bearings Core,2026-08-01,BRG-01,TiRex2,459.7080078125,401.5398864746094,527.4769287109375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,401.5398864746094,420.1549377441406,434.2936096191406,447.0755615234375,459.7080078125,472.9916687011719,486.971923828125,503.22821044921875,527.4769287109375
BRG,Industrial Bearings,Industrial Bearings Core,2026-09-01,BRG-01,TiRex2,453.3818054199219,391.77374267578125,525.4522705078125,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,391.77374267578125,411.4892883300781,426.68511962890625,440.187255859375,453.3818054199219,467.0550537109375,481.63671875,499.0664978027344,525.4522705078125
BRG,Industrial Bearings,Industrial Bearings Core,2026-10-01,BRG-01,TiRex2,448.21185302734375,384.63134765625,523.7593383789062,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,384.63134765625,404.9619140625,420.74493408203125,434.5524597167969,448.21185302734375,462.5065002441406,477.84686279296875,496.25592041015625,523.7593383789062
BRG,Industrial Bearings,Industrial Bearings Core,2026-11-01,BRG-01,TiRex2,444.7850036621094,380.91400146484375,521.2044067382812,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,380.91400146484375,400.7674560546875,416.50836181640625,430.76031494140625,444.7850036621094,459.3285827636719,474.7597351074219,493.1583557128906,521.2044067382812
BRG,Industrial Bearings,Industrial Bearings Core,2026-12-01,BRG-01,TiRex2,444.0467529296875,381.2381896972656,523.092041015625,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,381.2381896972656,400.5097351074219,415.8014831542969,429.96600341796875,444.0467529296875,458.8287048339844,474.80999755859375,494.0335693359375,523.092041015625
BRG,Industrial Bearings,Industrial Bearings Core,2027-01-01,BRG-01,TiRex2,440.09893798828125,376.8359069824219,518.9534301757812,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,376.8359069824219,396.2781677246094,411.50372314453125,425.7920837402344,440.09893798828125,455.0589904785156,471.18780517578125,490.1516418457031,518.9534301757812
BRG,Industrial Bearings,Industrial Bearings Core,2027-02-01,BRG-01,TiRex2,439.8807678222656,377.231201171875,519.060302734375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,377.231201171875,396.6865234375,411.5997009277344,425.74713134765625,439.8807678222656,454.7969055175781,471.07537841796875,490.20062255859375,519.060302734375
BRG,Industrial Bearings,Industrial Bearings Core,2027-03-01,BRG-01,TiRex2,438.38250732421875,376.42864990234375,519.1531372070312,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,376.42864990234375,395.5483093261719,410.3255615234375,424.39337158203125,438.38250732421875,453.2976989746094,469.9424743652344,489.6878967285156,519.1531372070312
BRG,Industrial Bearings,Industrial Bearings Core,2027-04-01,BRG-01,TiRex2,438.7406311035156,375.2045593261719,519.5645751953125,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,375.2045593261719,395.2190856933594,410.361572265625,424.6948547363281,438.7406311035156,453.6573791503906,470.2875671386719,490.1308288574219,519.5645751953125
BRG,Industrial Bearings,Industrial Bearings Core,2027-05-01,BRG-01,TiRex2,438.3038330078125,374.3422546386719,519.87255859375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,374.3422546386719,394.4326171875,409.605712890625,424.06768798828125,438.3038330078125,453.5135498046875,470.4162902832031,490.2550964355469,519.87255859375
BRG,Industrial Bearings,Industrial Bearings Core,2027-06-01,BRG-01,TiRex2,440.3348388671875,375.7476501464844,523.9760131835938,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,375.7476501464844,396.28643798828125,411.5650939941406,426.0133972167969,440.3348388671875,455.7778625488281,473.1412048339844,493.63214111328125,523.9760131835938
BRG,Industrial Bearings,Industrial Bearings Compact,2026-07-01,BRG-02,TiRex2,578.7796630859375,500.6300048828125,655.5206298828125,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,500.6300048828125,528.72412109375,547.9756469726562,564.0292358398438,578.7796630859375,593.234375,608.665283203125,627.326904296875,655.5206298828125
BRG,Industrial Bearings,Industrial Bearings Compact,2026-08-01,BRG-02,TiRex2,574.8494873046875,485.36859130859375,659.899658203125,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,485.36859130859375,518.5238037109375,540.7926025390625,558.6185302734375,574.8494873046875,591.246826171875,608.4368896484375,628.7870483398438,659.899658203125
BRG,Industrial Bearings,Industrial Bearings Compact,2026-09-01,BRG-02,TiRex2,573.9044189453125,479.345947265625,663.3372192382812,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,479.345947265625,513.8348388671875,537.6897583007812,556.7658081054688,573.9044189453125,590.9324951171875,608.7203979492188,630.0924072265625,663.3372192382812
BRG,Industrial Bearings,Industrial Bearings Compact,2026-10-01,BRG-02,TiRex2,569.0285034179688,469.95263671875,660.0069580078125,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,469.95263671875,506.36224365234375,531.724365234375,551.5916137695312,569.0285034179688,586.3091430664062,604.378173828125,626.1875610351562,660.0069580078125
BRG,Industrial Bearings,Industrial Bearings Compact,2026-11-01,BRG-02,TiRex2,566.0352172851562,463.8683166503906,660.9730224609375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,463.8683166503906,500.9001159667969,526.94287109375,547.774169921875,566.0352172851562,583.9525756835938,602.68212890625,625.4053344726562,660.9730224609375
BRG,Industrial Bearings,Industrial Bearings Compact,2026-12-01,BRG-02,TiRex2,562.5458984375,456.424560546875,661.1358642578125,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,456.424560546875,495.0521240234375,522.0042114257812,543.7323608398438,562.5458984375,580.87353515625,600.2064819335938,624.0067749023438,661.1358642578125
BRG,Industrial Bearings,Industrial Bearings Compact,2027-01-01,BRG-02,TiRex2,560.9484252929688,451.38934326171875,662.958740234375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,451.38934326171875,491.2249755859375,518.8519287109375,541.3528442382812,560.9484252929688,579.9299926757812,600.0660400390625,624.671875,662.958740234375
BRG,Industrial Bearings,Industrial Bearings Compact,2027-02-01,BRG-02,TiRex2,559.6278686523438,450.4542236328125,659.5859985351562,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,450.4542236328125,490.3369140625,517.63037109375,540.1287231445312,559.6278686523438,578.2953491210938,598.13037109375,622.2803344726562,659.5859985351562
BRG,Industrial Bearings,Industrial Bearings Compact,2027-03-01,BRG-02,TiRex2,558.6104125976562,449.73175048828125,658.7603759765625,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,449.73175048828125,489.0439147949219,516.3560180664062,539.0230712890625,558.6104125976562,577.1094360351562,597.01611328125,621.3897094726562,658.7603759765625
BRG,Industrial Bearings,Industrial Bearings Compact,2027-04-01,BRG-02,TiRex2,558.6920166015625,444.98309326171875,661.7938842773438,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,444.98309326171875,486.63494873046875,515.0108032226562,538.48291015625,558.6920166015625,577.6693725585938,598.0374145507812,623.1148681640625,661.7938842773438
BRG,Industrial Bearings,Industrial Bearings Compact,2027-05-01,BRG-02,TiRex2,561.3318481445312,449.5941162109375,665.2363891601562,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,449.5941162109375,489.9690856933594,517.6672973632812,540.9683837890625,561.3318481445312,580.5739135742188,601.2684326171875,626.3594360351562,665.2363891601562
BRG,Industrial Bearings,Industrial Bearings Compact,2027-06-01,BRG-02,TiRex2,564.1602172851562,454.6158752441406,666.8394775390625,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,454.6158752441406,494.0442810058594,521.0973510742188,543.935302734375,564.1602172851562,583.2938842773438,603.8716430664062,628.6510009765625,666.8394775390625
BRG,Industrial Bearings,Industrial Bearings Standard,2026-07-01,BRG-03,TiRex2,718.4989624023438,632.8934936523438,802.9779052734375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,632.8934936523438,657.6072387695312,678.6668701171875,698.89990234375,718.4989624023438,736.815185546875,754.4108276367188,773.7891235351562,802.9779052734375
BRG,Industrial Bearings,Industrial Bearings Standard,2026-08-01,BRG-03,TiRex2,692.0745239257812,596.298095703125,798.043701171875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,596.298095703125,625.6495971679688,649.0086059570312,670.6222534179688,692.0745239257812,714.2974853515625,736.4705200195312,761.1825561523438,798.043701171875
BRG,Industrial Bearings,Industrial Bearings Standard,2026-09-01,BRG-03,TiRex2,678.353271484375,573.2985229492188,791.20849609375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,573.2985229492188,606.4584350585938,632.5548706054688,655.81982421875,678.353271484375,701.3067626953125,724.6735229492188,751.4879760742188,791.20849609375
BRG,Industrial Bearings,Industrial Bearings Standard,2026-10-01,BRG-03,TiRex2,664.486572265625,553.7420043945312,784.8522338867188,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,553.7420043945312,589.05712890625,617.1145629882812,641.3602294921875,664.486572265625,688.1493530273438,712.7743530273438,741.863037109375,784.8522338867188
BRG,Industrial Bearings,Industrial Bearings Standard,2026-11-01,BRG-03,TiRex2,657.7413330078125,543.4561157226562,779.4860229492188,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,543.4561157226562,579.5498046875,608.2831420898438,633.7811889648438,657.7413330078125,681.8324584960938,706.8085327148438,736.2679443359375,779.4860229492188
BRG,Industrial Bearings,Industrial Bearings Standard,2026-12-01,BRG-03,TiRex2,651.4468383789062,540.3214721679688,778.032958984375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,540.3214721679688,574.4578247070312,602.0830078125,627.52490234375,651.4468383789062,675.5496826171875,701.1775512695312,732.2125244140625,778.032958984375
BRG,Industrial Bearings,Industrial Bearings Standard,2027-01-01,BRG-03,TiRex2,650.7816162109375,537.1069946289062,776.0176391601562,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,537.1069946289062,572.477783203125,600.2129516601562,626.141357421875,650.7816162109375,675.4883422851562,701.6193237304688,732.0411987304688,776.0176391601562
BRG,Industrial Bearings,Industrial Bearings Standard,2027-02-01,BRG-03,TiRex2,651.6083984375,538.2410278320312,779.2120361328125,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,538.2410278320312,573.485107421875,600.8644409179688,626.9227294921875,651.6083984375,676.5027465820312,703.1756591796875,734.1986694335938,779.2120361328125
BRG,Industrial Bearings,Industrial Bearings Standard,2027-03-01,BRG-03,TiRex2,655.5335693359375,540.40283203125,781.7559204101562,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,540.40283203125,576.626220703125,604.5673217773438,630.8357543945312,655.5335693359375,680.3021850585938,707.0549926757812,737.7642822265625,781.7559204101562
BRG,Industrial Bearings,Industrial Bearings Standard,2027-04-01,BRG-03,TiRex2,658.9086303710938,543.7853393554688,791.2752075195312,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,543.7853393554688,579.966796875,607.5956420898438,633.9107666015625,658.9086303710938,684.2833251953125,711.9965209960938,744.1796875,791.2752075195312
BRG,Industrial Bearings,Industrial Bearings Standard,2027-05-01,BRG-03,TiRex2,662.3040771484375,545.1182861328125,792.3703002929688,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,545.1182861328125,582.3076171875,610.2489624023438,636.9155883789062,662.3040771484375,688.0700073242188,715.8656005859375,746.9871826171875,792.3703002929688
BRG,Industrial Bearings,Industrial Bearings Standard,2027-06-01,BRG-03,TiRex2,663.6084594726562,548.330322265625,796.7487182617188,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,548.330322265625,584.7047119140625,612.1328735351562,638.340087890625,663.6084594726562,689.4466552734375,717.762451171875,749.8377685546875,796.7487182617188
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2026-07-01,BRG-04,TiRex2,886.4432983398438,774.6143798828125,1000.773681640625,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,774.6143798828125,808.0310668945312,835.4920043945312,861.3818969726562,886.4432983398438,910.0949096679688,933.3330078125,959.9603271484375,1000.773681640625
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2026-08-01,BRG-04,TiRex2,860.4628295898438,735.0791625976562,1005.2217407226562,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,735.0791625976562,773.4953002929688,804.1547241210938,832.2320556640625,860.4628295898438,890.0769653320312,920.0889892578125,954.1157836914062,1005.2217407226562
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2026-09-01,BRG-04,TiRex2,836.8587036132812,694.704345703125,1007.127197265625,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,694.704345703125,740.4617309570312,775.2794189453125,806.2274780273438,836.8587036132812,869.5325927734375,904.4262084960938,945.589111328125,1007.127197265625
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2026-10-01,BRG-04,TiRex2,817.8892211914062,662.7427368164062,993.7343139648438,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,662.7427368164062,715.099609375,753.8193359375,786.5802612304688,817.8892211914062,851.2154541015625,887.2356567382812,930.2957763671875,993.7343139648438
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2026-11-01,BRG-04,TiRex2,811.106689453125,647.2379150390625,994.7357177734375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,647.2379150390625,702.649169921875,743.2911987304688,778.09912109375,811.106689453125,845.9227294921875,883.6013793945312,928.3820190429688,994.7357177734375
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2026-12-01,BRG-04,TiRex2,809.3208618164062,645.0248413085938,998.5249633789062,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,645.0248413085938,699.6521606445312,740.239501953125,775.7749633789062,809.3208618164062,844.5098266601562,883.0160522460938,929.6390380859375,998.5249633789062
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2027-01-01,BRG-04,TiRex2,807.4298095703125,637.599365234375,999.1826171875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,637.599365234375,694.3275756835938,735.8358764648438,772.5606689453125,807.4298095703125,843.8746337890625,883.9456787109375,930.7557373046875,999.1826171875
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2027-02-01,BRG-04,TiRex2,808.0817260742188,637.40966796875,1001.492431640625,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,637.40966796875,694.2828979492188,735.4361572265625,772.6212158203125,808.0817260742188,845.0551147460938,885.9911499023438,933.2176513671875,1001.492431640625
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2027-03-01,BRG-04,TiRex2,814.7459106445312,645.3491821289062,1006.754150390625,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,645.3491821289062,700.15380859375,740.7464599609375,778.3573608398438,814.7459106445312,852.0655517578125,893.2672119140625,939.6922607421875,1006.754150390625
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2027-04-01,BRG-04,TiRex2,816.6779174804688,648.5350341796875,1013.589599609375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,648.5350341796875,702.3167724609375,742.017578125,779.6415405273438,816.6779174804688,855.0045166015625,897.2954711914062,944.6558837890625,1013.589599609375
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2027-05-01,BRG-04,TiRex2,811.87060546875,639.236083984375,1010.9542236328125,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,639.236083984375,695.8076171875,736.6024780273438,774.6813354492188,811.87060546875,850.352294921875,893.2523193359375,941.06396484375,1010.9542236328125
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,2027-06-01,BRG-04,TiRex2,806.5261840820312,633.9074096679688,1005.3844604492188,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,633.9074096679688,691.0487060546875,731.9089965820312,769.7210693359375,806.5261840820312,844.4784545898438,887.0530395507812,935.0055541992188,1005.3844604492188
BRG,Industrial Bearings,Industrial Bearings Precision,2026-07-01,BRG-05,TiRex2,977.5631103515625,852.9385986328125,1108.5452880859375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,852.9385986328125,892.6863403320312,923.2022705078125,951.0797119140625,977.5631103515625,1003.0994262695312,1029.390625,1060.6171875,1108.5452880859375
BRG,Industrial Bearings,Industrial Bearings Precision,2026-08-01,BRG-05,TiRex2,937.0059814453125,787.0332641601562,1086.3211669921875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,787.0332641601562,839.3436279296875,875.539306640625,907.1459350585938,937.0059814453125,966.9995727539062,997.7222290039062,1033.13671875,1086.3211669921875
BRG,Industrial Bearings,Industrial Bearings Precision,2026-09-01,BRG-05,TiRex2,918.572021484375,743.522216796875,1079.1737060546875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,743.522216796875,808.6618041992188,851.0093994140625,886.18505859375,918.572021484375,950.4943237304688,983.5136108398438,1022.2608032226562,1079.1737060546875
BRG,Industrial Bearings,Industrial Bearings Precision,2026-10-01,BRG-05,TiRex2,904.0490112304688,713.0286254882812,1069.537353515625,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,713.0286254882812,786.5371704101562,832.7236328125,870.0504150390625,904.0490112304688,937.3587646484375,971.705322265625,1011.6954956054688,1069.537353515625
BRG,Industrial Bearings,Industrial Bearings Precision,2026-11-01,BRG-05,TiRex2,903.6787719726562,694.68115234375,1066.7215576171875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,694.68115234375,778.4270629882812,828.7166137695312,868.4820556640625,903.6787719726562,937.294677734375,971.09130859375,1009.8618774414062,1066.7215576171875
BRG,Industrial Bearings,Industrial Bearings Precision,2026-12-01,BRG-05,TiRex2,924.9071044921875,722.7476196289062,1107.75732421875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,722.7476196289062,800.5174560546875,849.2293701171875,888.796142578125,924.9071044921875,960.6009521484375,997.61474609375,1041.5826416015625,1107.75732421875
BRG,Industrial Bearings,Industrial Bearings Precision,2027-01-01,BRG-05,TiRex2,959.0135498046875,771.5247802734375,1145.711669921875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,771.5247802734375,839.5690307617188,884.282470703125,922.5894775390625,959.0135498046875,995.734375,1033.6019287109375,1077.77783203125,1145.711669921875
BRG,Industrial Bearings,Industrial Bearings Precision,2027-02-01,BRG-05,TiRex2,974.0010986328125,793.827880859375,1165.5941162109375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,793.827880859375,856.2410888671875,899.1062622070312,937.0546875,974.0010986328125,1011.4747314453125,1050.380859375,1095.5787353515625,1165.5941162109375
BRG,Industrial Bearings,Industrial Bearings Precision,2027-03-01,BRG-05,TiRex2,1003.2191772460938,826.9595947265625,1191.7694091796875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,826.9595947265625,883.3046264648438,925.2649536132812,964.4019165039062,1003.2191772460938,1041.0615234375,1079.1932373046875,1122.40673828125,1191.7694091796875
BRG,Industrial Bearings,Industrial Bearings Precision,2027-04-01,BRG-05,TiRex2,1005.5311279296875,831.1646728515625,1213.74072265625,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,831.1646728515625,885.4088134765625,926.9218139648438,965.8352661132812,1005.5311279296875,1045.8001708984375,1087.9512939453125,1136.458740234375,1213.74072265625
BRG,Industrial Bearings,Industrial Bearings Precision,2027-05-01,BRG-05,TiRex2,1000.3526611328125,819.6895751953125,1203.7001953125,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,819.6895751953125,877.3367919921875,920.8795166015625,960.582275390625,1000.3526611328125,1040.143310546875,1081.5166015625,1128.5018310546875,1203.7001953125
BRG,Industrial Bearings,Industrial Bearings Precision,2027-06-01,BRG-05,TiRex2,978.41552734375,798.0619506835938,1183.410888671875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,798.0619506835938,858.0692138671875,902.0545654296875,940.4750366210938,978.41552734375,1016.7869873046875,1057.8148193359375,1106.066650390625,1183.410888671875
BRG,Industrial Bearings,Industrial Bearings High Capacity,2026-07-01,BRG-06,TiRex2,1160.134765625,1038.607666015625,1291.037841796875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,1038.607666015625,1079.46826171875,1109.44921875,1135.60986328125,1160.134765625,1184.0850830078125,1209.66455078125,1241.32861328125,1291.037841796875
BRG,Industrial Bearings,Industrial Bearings High Capacity,2026-08-01,BRG-06,TiRex2,1128.6480712890625,982.3078002929688,1283.046630859375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,982.3078002929688,1034.322021484375,1070.2626953125,1100.375732421875,1128.6480712890625,1157.6346435546875,1188.7279052734375,1226.028564453125,1283.046630859375
BRG,Industrial Bearings,Industrial Bearings High Capacity,2026-09-01,BRG-06,TiRex2,1111.186279296875,940.966552734375,1282.05517578125,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,940.966552734375,1004.5384521484375,1046.4512939453125,1080.3131103515625,1111.186279296875,1142.5283203125,1176.6893310546875,1218.5316162109375,1282.05517578125
BRG,Industrial Bearings,Industrial Bearings High Capacity,2026-10-01,BRG-06,TiRex2,1108.051513671875,927.7279052734375,1285.298583984375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,927.7279052734375,996.45849609375,1040.8089599609375,1076.1785888671875,1108.051513671875,1140.558837890625,1176.2681884765625,1220.0535888671875,1285.298583984375
BRG,Industrial Bearings,Industrial Bearings High Capacity,2026-11-01,BRG-06,TiRex2,1126.6397705078125,942.8367309570312,1316.600341796875,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,942.8367309570312,1010.684326171875,1055.462646484375,1092.4847412109375,1126.6397705078125,1161.3800048828125,1199.10107421875,1245.1634521484375,1316.600341796875
BRG,Industrial Bearings,Industrial Bearings High Capacity,2026-12-01,BRG-06,TiRex2,1146.7393798828125,959.7289428710938,1346.2828369140625,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,959.7289428710938,1025.5662841796875,1071.2403564453125,1110.2396240234375,1146.7393798828125,1183.7191162109375,1223.29833984375,1271.4892578125,1346.2828369140625
BRG,Industrial Bearings,Industrial Bearings High Capacity,2027-01-01,BRG-06,TiRex2,1165.8541259765625,976.8109741210938,1372.031005859375,,,Native TiRex2 marginal q10-q90 interval; no native 95% interval,Seasonal,976.8109741210938,1040.634521484375,1086.9320068359375,1127.54833984375,1165.8541259765625,1204.398681640625,1245.1561279296875,1294.33447265625,1372.031005859375
