Month,Product_Group_Code,Product_Group,SKU_Description,SKU,Model,Forecast_Units,PI80_Lower_Units,PI80_Upper_Units,PI95_Lower_Units,PI95_Upper_Units,Interval_Method,Demand_Profile,Quantile_Crossings,Raw_Quantile_Crossings,Quantile_Rearranged,Q10_Units,Q20_Units,Q30_Units,Q40_Units,Q50_Units,Q60_Units,Q70_Units,Q80_Units,Q90_Units
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,449.416666666682,410.60049200315785,488.2328413302062,390.0524503498819,508.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,530.416666666682,491.6004920031578,569.2328413302062,471.05245034988184,589.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,541.416666666682,502.6004920031578,580.2328413302062,482.05245034988184,600.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,523.416666666682,484.6004920031578,562.2328413302062,464.05245034988184,582.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,509.416666666682,470.60049200315785,548.2328413302062,450.0524503498819,568.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,560.416666666682,521.6004920031578,599.2328413302062,501.05245034988184,619.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,488.416666666682,449.60049200315785,527.2328413302062,429.0524503498819,547.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,425.416666666682,386.60049200315785,464.2328413302062,366.0524503498819,484.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,423.416666666682,384.60049200315785,462.2328413302062,364.0524503498819,482.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,441.416666666682,402.60049200315785,480.2328413302062,382.0524503498819,500.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,424.416666666682,385.60049200315785,463.2328413302062,365.0524503498819,483.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,467.416666666682,428.60049200315785,506.2328413302062,408.0524503498819,526.7808829834821,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.0285714285714,398.4090885373461,503.6480543197967,370.5540168927213,531.5031259644215,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.0571428571429,375.61549165482546,526.4987940594604,335.6790938841856,566.4351918301002,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.0857142857143,357.4486582172084,544.7227703542202,307.8801949396087,594.2912336318199,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.1142857142857,341.57809727013216,560.6504741584392,283.59314171482345,618.635429713748,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.1428571428571,327.11754655980735,575.1681677259069,261.4625130586362,640.823201227078,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.1714285714286,313.6207050974206,588.7221520454366,240.80575050999343,661.5371066328637,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.2,300.8273024519535,601.5726975480464,221.22480479428788,681.175195205712,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.2285714285714,288.5709015074092,613.8862413497336,202.46513230842555,699.9920105487172,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.2571428571428,276.7380614444232,625.7762242698625,184.35324029073467,718.161045423551,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.2857142857143,265.2477484111397,637.3236801602889,166.76519815938298,735.8062304120456,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.3142857142857,254.0399526321243,648.588618796447,149.6092288827365,753.0193425458349,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,451.3428571428571,243.06894371170773,659.6167705740065,132.81539385596597,769.8703204297483,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,400.122549088318,501.8688224433049,373.1919372868349,528.799434244788,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,378.91462185836735,523.0767496732556,340.7572115411053,561.2341599905176,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,362.5452374963549,539.446134035268,315.72239853691406,586.2689729947089,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,348.66466131669057,553.3267102149323,294.4938891829064,607.4974823487165,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,336.364504417058,565.6268671145649,275.682422539169,626.3089489924539,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,325.1797559146382,576.8116156169847,258.576825831037,643.4145457005859,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,314.8346778241689,587.156693707454,242.75539420104425,659.2359773305786,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,305.1499291119303,596.8414424196926,227.94384920695575,674.0475223246672,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,296.0011543674808,605.9902171641421,213.95200566051943,688.0393658711034,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,287.297964218244,614.6934073133789,200.6416249456715,701.3497465859514,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,278.9722347466939,623.0191367849291,187.9085205213269,714.082851010296,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,450.99568576581146,270.9711258811514,631.0202456504715,175.67188047151086,726.3194910601121,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,
