Month,Product_Group_Code,Product_Group,SKU_Description,SKU,Model,Forecast_Units,PI80_Lower_Units,PI80_Upper_Units,PI95_Lower_Units,PI95_Upper_Units,Interval_Method,Demand_Profile,Quantile_Crossings,Raw_Quantile_Crossings,Quantile_Rearranged,Q10_Units,Q20_Units,Q30_Units,Q40_Units,Q50_Units,Q60_Units,Q70_Units,Q80_Units,Q90_Units,Selected_Model
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,460.4532470703125,420.7183532714844,499.1060791015625,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,420.7183532714844,435.14013671875,444.9815673828125,453.04254150390625,460.4532470703125,468.0046081542969,476.1954956054687,485.8557739257813,499.1060791015625,TiRex2
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,486.3167724609375,442.3728637695313,534.77294921875,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,442.3728637695313,456.9541931152344,468.2558288574219,477.5854187011719,486.3167724609375,495.4505615234375,505.481689453125,517.3385620117188,534.77294921875,TiRex2
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,503.0963439941406,453.75543212890625,556.087890625,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,453.75543212890625,468.8771362304687,481.8088684082031,492.9454956054687,503.0963439941406,513.2948608398438,524.0716552734375,536.650146484375,556.087890625,TiRex2
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,514.3181762695312,462.6567077636719,569.033447265625,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,462.6567077636719,478.1368713378906,492.0162963867187,503.9577941894531,514.3181762695312,524.5753784179688,535.197021484375,547.9163818359375,569.033447265625,TiRex2
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,509.96441650390625,458.8332214355469,567.5057373046875,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,458.8332214355469,473.5169982910156,486.9412231445313,498.960205078125,509.96441650390625,521.05419921875,532.5188598632812,545.8189086914062,567.5057373046875,TiRex2
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,496.0364379882813,447.16015625,556.7339477539062,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,447.16015625,461.316650390625,473.869140625,485.3143310546875,496.0364379882813,507.2268676757813,519.0296020507812,533.3304443359375,556.7339477539062,TiRex2
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,464.3309020996094,414.0816955566406,522.1500244140625,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,414.0816955566406,430.2955627441406,443.066162109375,454.0391540527344,464.3309020996094,474.99072265625,486.4738159179687,500.45465087890625,522.1500244140625,TiRex2
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,433.4892578125,377.3292236328125,482.7682189941406,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,377.3292236328125,397.4170227050781,411.7363586425781,423.2663269042969,433.4892578125,443.49322509765625,453.7702331542969,465.7599792480469,482.7682189941406,TiRex2
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,412.84716796875,362.7262573242187,456.4548950195313,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,362.7262573242187,380.7021179199219,393.2629699707031,403.5534057617187,412.84716796875,422.1780090332031,431.8297424316406,442.7018737792969,456.4548950195313,TiRex2
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,409.3499450683594,359.94549560546875,454.3123474121094,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,359.94549560546875,377.4933471679687,389.67633056640625,400.0311279296875,409.3499450683594,418.6974792480469,428.5068664550781,439.9029846191406,454.3123474121094,TiRex2
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,413.6799926757813,363.3621520996094,458.5844421386719,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,363.3621520996094,381.208984375,393.3950500488281,404.0024719238281,413.6799926757813,423.287109375,433.1397399902344,444.3880004882813,458.5844421386719,TiRex2
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,427.6169128417969,374.8255615234375,476.9430847167969,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,374.8255615234375,393.4969177246094,406.2511901855469,417.3776245117187,427.6169128417969,437.7803649902344,448.35357666015625,460.6754455566406,476.9430847167969,TiRex2
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,599.8970336914062,498.2440490722656,711.9904174804688,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,498.2440490722656,535.1497802734375,559.9554443359375,580.6559448242188,599.8970336914062,619.3909912109375,641.2404174804688,668.794189453125,711.9904174804688,TiRex2
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,600.7354736328125,492.9398193359375,726.0245361328125,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,492.9398193359375,533.0716552734375,559.5645751953125,580.8560791015625,600.7354736328125,621.6420288085938,645.3611450195312,676.1250610351562,726.0245361328125,TiRex2
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,587.6429443359375,471.0025634765625,715.4793090820312,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,471.0025634765625,515.6968994140625,544.3966064453125,566.9913940429688,587.6429443359375,608.9722900390625,633.1836547851562,664.6577758789062,715.4793090820312,TiRex2
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,582.0023803710938,464.5521240234375,716.734619140625,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,464.5521240234375,510.69970703125,539.5921630859375,561.728759765625,582.0023803710938,603.679931640625,629.0326538085938,662.6068725585938,716.734619140625,TiRex2
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,576.8763427734375,456.4347534179687,714.1580200195312,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,456.4347534179687,504.5873107910156,533.95751953125,556.2863159179688,576.8763427734375,598.8584594726562,624.58251953125,658.780517578125,714.1580200195312,TiRex2
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,570.61083984375,454.3024291992187,705.253173828125,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,454.3024291992187,502.19329833984375,530.5252075195312,551.2365112304688,570.61083984375,591.8555297851562,617.0352783203125,650.79541015625,705.253173828125,TiRex2
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,566.7073974609375,446.9706726074219,701.834716796875,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,446.9706726074219,496.9761047363281,526.1013793945312,547.0736694335938,566.7073974609375,588.29296875,613.690185546875,647.3902587890625,701.834716796875,TiRex2
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,562.3652954101562,444.497314453125,695.3230590820312,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,444.497314453125,495.1134338378906,523.7388305664062,543.6154174804688,562.3652954101562,583.3726806640625,608.2906494140625,641.5194702148438,695.3230590820312,TiRex2
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,558.9498291015625,439.87017822265625,690.5877685546875,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,439.87017822265625,491.1992492675781,520.2171630859375,540.26708984375,558.9498291015625,579.9510498046875,604.7236328125,637.7850341796875,690.5877685546875,TiRex2
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,556.8106689453125,437.6962890625,690.04736328125,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,437.6962890625,489.5481567382813,518.7415771484375,538.482177734375,556.8106689453125,577.6890869140625,602.6078491210938,636.3084106445312,690.04736328125,TiRex2
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,556.3878173828125,434.00677490234375,688.53125,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,434.00677490234375,487.3121032714844,517.3784790039062,537.6935424804688,556.3878173828125,577.6956787109375,602.6867065429688,635.886962890625,688.53125,TiRex2
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,559.3493041992188,439.9564208984375,691.6282348632812,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,439.9564208984375,491.8616638183594,521.314697265625,541.1111450195312,559.3493041992188,580.373779296875,605.2566528320312,638.5951538085938,691.6282348632812,TiRex2
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,701.0487670898438,595.0819702148438,778.0283813476562,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,595.0819702148438,638.5783081054688,665.0901489257812,684.6826171875,701.0487670898438,715.8568115234375,731.1080322265625,749.59814453125,778.0283813476562,TiRex2
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,686.8199462890625,565.3213500976562,774.5040893554688,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,565.3213500976562,616.7137451171875,647.6465454101562,669.1972045898438,686.8199462890625,703.5996704101562,721.260498046875,742.7313842773438,774.5040893554688,TiRex2
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,661.4384155273438,527.2854614257812,752.2701416015625,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,527.2854614257812,585.62353515625,619.8493041992188,643.1218872070312,661.4384155273438,678.7032470703125,697.2084350585938,719.7305297851562,752.2701416015625,TiRex2
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,652.898193359375,510.47601318359375,749.0359497070312,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,510.47601318359375,573.861572265625,610.0499877929688,634.2219848632812,652.898193359375,670.9931640625,690.9412231445312,715.3763427734375,749.0359497070312,TiRex2
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,631.9398193359375,479.8712463378906,729.4116821289062,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,479.8712463378906,549.79736328125,588.025634765625,612.746337890625,631.9398193359375,650.4378662109375,670.8939819335938,695.64990234375,729.4116821289062,TiRex2
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,629.810791015625,474.97357177734375,729.53759765625,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,474.97357177734375,547.3784790039062,586.400146484375,610.6611938476562,629.810791015625,648.6964721679688,669.842041015625,695.3946533203125,729.53759765625,TiRex2
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,619.7643432617188,458.6838989257813,718.6810302734375,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,458.6838989257813,534.8721923828125,575.3952026367188,600.2039184570312,619.7643432617188,639.18994140625,660.6071166992188,685.69921875,718.6810302734375,TiRex2
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,634.3419189453125,481.4259033203125,733.4042358398438,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,481.4259033203125,553.5323486328125,592.1055908203125,615.3026123046875,634.3419189453125,653.7960205078125,675.5543823242188,700.6441650390625,733.4042358398438,TiRex2
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,651.962158203125,507.8057861328125,753.9586181640625,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,507.8057861328125,574.02880859375,610.7781982421875,633.2606811523438,651.962158203125,671.5960083007812,693.778076171875,719.6199340820312,753.9586181640625,TiRex2
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,670.9480590820312,522.762939453125,773.9038696289062,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,522.762939453125,588.6751708984375,627.1357421875,651.0015258789062,670.9480590820312,691.5671997070312,714.09423828125,739.5811767578125,773.9038696289062,TiRex2
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,673.0990600585938,525.5665283203125,774.751708984375,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,525.5665283203125,590.8408813476562,629.4251708984375,653.2963256835938,673.0990600585938,693.7940673828125,716.111083984375,740.888671875,774.751708984375,TiRex2
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,673.0032958984375,524.0457153320312,778.715087890625,,,TiRex2 marginal q10-q90 after monotone rearrangement; no native 95% interval,Smooth,0.0,0.0,False,524.0457153320312,589.7767333984375,628.5725708007812,652.7160034179688,673.0032958984375,694.5223388671875,717.9337768554688,743.875244140625,778.715087890625,TiRex2
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Mean,683.8888888888889,0.0,1722.7361267927952,0.0,2272.6686356213727,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,970.2846725879396,764.7534078093505,1175.815937366529,655.9517284493911,1284.6176167264882,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,971.1139939546496,765.5827254621136,1176.6452624471858,656.7810441361095,1285.44694377319,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,971.8598978536218,766.3286218135647,1177.3911738936788,657.5269364921444,1286.1928592150991,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,972.5307748487592,766.9994866641844,1178.0620630333342,658.1977949138445,1286.863754783674,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,973.1341715372938,767.6028661440951,1178.6654769304926,658.8011652840601,1287.4671777905276,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,973.676875440354,768.1455475318852,1179.2082033488227,659.3438347529863,1288.0099161277217,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,974.1649913547984,768.6336355499254,1179.6963471596712,659.8319080035624,1288.4980747060342,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,974.6040100251828,769.0726209919867,1180.1353990583789,660.2708758556116,1288.9371441947535,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,974.9988699083428,769.4674424531772,1180.5302973635082,660.6656769774402,1289.3320628392453,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,975.354012725373,769.8225418550041,1180.8854835957418,661.0207533966468,1289.6872720540991,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,975.673433425898,770.1419143888643,1181.2049524629315,661.3401004326148,1290.006766419181,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ETS,975.9607251266762,770.4291534387355,1181.4922968146168,661.6273116107794,1290.2941386425728,Native fable 80% and 95% model intervals,Smooth,,,,,,,,,,,,,ETS
2026-07-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Mean,938.8333333333331,0.0,2478.1880285713864,0.0,3293.0731807304173,Native fable 80% and 95% model intervals,Erratic,,,,,,,,,,,,,Mean
