Product_Group_Code,Product_Group,SKU_Description,SKU,Model,ME,RMSE,MAE,MASE,RMSSE,WAPE,Coverage_80,Coverage_95,Mean_PI80_Width,Mean_PI95_Width,Mean_Pinball_Loss,Quantile_Crossings,Raw_Quantile_Crossings,Rearranged_Points,Error_Sum,Absolute_Error_Sum,Squared_Error_Sum,Actual_Units_Sum,Covered_80_Count,Covered_95_Count,Evaluation_Origins,Evaluation_Points,Evaluation_Horizon,Demand_Profile
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,7.134509132021949,40.00678568803347,31.976925077892485,1.3413062507450328,1.452843047015058,0.06769308736247401,0.7857142857142857,,113.39181809198288,,12.5701488837994,0,0,0,299.6493835449219,1343.0308532714844,67222.80184570607,19840.0,33,0,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,-17.68873523530506,71.2672720431204,54.95624069940476,0.8106133202223091,0.4903517180742022,0.09658794448570951,0.9047619047619048,,205.77779424758185,,21.674617617975464,0,0,0,-742.9268798828125,2308.162109375,213319.0107076615,23897.0,38,0,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,-24.04461669921875,67.60018048005391,58.363728841145836,0.4635328930715865,0.27170673818548,0.09185627712388987,0.9285714285714286,,287.68956066313245,,22.665885400519798,0,0,0,-1009.8739013671875,2451.276611328125,191930.94483930618,26686.0,39,0,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,TiRex2,3.551396687825521,938.3486587495325,633.3182918003628,0.5671679893606848,0.6965305851658842,0.8386999292327049,0.7142857142857143,,1080.235957917713,,264.96420979171836,0,0,0,149.15866088867188,26599.368255615234,36980924.625835955,31715.0,30,0,7,42,6,Erratic
BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,TiRex2,10.870147705078125,67.81534366005117,53.883029029482884,0.41256138487661853,0.2544936119720817,0.05773623540674749,0.9523809523809523,,304.0657261439732,,22.49750036814856,0,0,0,456.54620361328125,2263.0872192382812,193154.67510069534,39197.0,40,0,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,TiRex2,123.65163966587612,1567.989521080708,1030.4005977085658,0.7264630445732104,0.8695855191124141,0.9355533119408485,0.6190476190476191,,1453.8516271682013,,454.7164042276049,0,0,0,5193.368865966797,43276.825103759766,103260827.80519417,46258.0,26,0,7,42,6,Erratic
BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,TiRex2,-24.064586821056547,419.1489890345918,300.4118056524368,0.36601959497038067,0.42482019449967223,0.37384580258969907,0.7380952380952381,,792.9296235584077,,114.84390479193793,0,0,0,-1010.712646484375,12617.295837402344,7378806.750366256,33750.0,31,0,7,42,6,Intermittent
BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,TiRex2,473.12706284295945,914.7818494300394,582.9792095365979,0.46950251927043785,0.44919676207790465,0.8772258097068325,0.8095238095238095,,1349.3402362096876,,229.56609277271093,0,0,0,19871.336639404297,24485.12680053711,35146684.94595902,27912.0,34,0,7,42,6,Lumpy
CNV,Conveying Components,Conveying Components Core,CNV-01,TiRex2,-16.434147426060267,39.14980013641097,30.7067624046689,0.6196986164022631,0.4112802417271717,0.09345536384029665,0.9761904761904762,,138.22584352039155,,12.044187245040977,0,0,0,-690.2341918945312,1289.6840209960938,64373.68773027882,13800.0,41,0,7,42,6,Smooth
CNV,Conveying Components,Conveying Components Compact,CNV-02,TiRex2,-32.97172110421317,112.92771518489862,57.89400155203683,0.9514015726970051,1.012311052275796,0.14714360454980616,0.9285714285714286,,198.2489540463402,,24.904940573879013,0,0,0,-1384.8122863769531,2431.548065185547,535612.0919890264,16525.0,39,0,7,42,6,Smooth
CNV,Conveying Components,Conveying Components Standard,CNV-03,TiRex2,60.13884553455171,255.8143121665065,160.14771016438803,0.24353000203243746,0.32193643380595893,0.3574535700113885,0.8809523809523809,,627.0002045404343,,64.56498220736387,0,0,0,2525.831512451172,6726.203826904297,2748520.416987359,18817.0,37,0,7,42,6,Erratic
CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,TiRex2,23.368262881324405,67.23770237277675,58.37738037109375,0.5314860554993656,0.36074838602019227,0.09637775061265477,0.9523809523809523,,271.2681557791574,,22.232760531309424,0,0,0,981.467041015625,2451.8499755859375,189878.16205554456,25440.0,40,0,7,42,6,Smooth
CNV,Conveying Components,Conveying Components Precision,CNV-05,TiRex2,-3.220362345377604,305.30949992424894,207.44854663667223,0.19743920845668783,0.2505448034201865,0.32386124070699307,0.8809523809523809,,719.7617274693081,,76.15735255851948,0,0,0,-135.25521850585938,8712.838958740234,3914983.411247789,26903.0,37,0,7,42,6,Erratic
CNV,Conveying Components,Conveying Components High Capacity,CNV-06,TiRex2,41.97126915341332,434.40723698400035,356.0213862827846,0.6091873406753652,0.630879489565515,0.6956454163236545,0.6666666666666666,,692.4293082101004,,130.9155160490167,0,0,0,1762.7933044433594,14952.898223876953,7925805.196851085,21495.0,28,0,7,42,6,Intermittent
CNV,Conveying Components,Conveying Components Service Kit,CNV-07,TiRex2,24.805687313988095,89.73305979741846,60.188895089285715,2.042684499430278,1.8792776284737673,0.12045235592271406,0.9761904761904762,,252.3837134951637,,22.772749719922505,0,0,0,1041.8388671875,2527.93359375,338184.9248654973,20987.0,41,0,7,42,6,Intermittent
CNV,Conveying Components,Conveying Components Premium,CNV-08,TiRex2,701.5398319789341,1398.3735002159851,741.7077803838821,1.137747514942936,1.0417290226668727,1.017697705851782,0.5476190476190477,,806.5129447664533,,351.30570565329657,0,2,1,29464.672943115234,31151.726776123047,82128834.73646486,30610.0,23,0,7,42,6,Lumpy
CVL,Control Valves,Control Valves Core,CVL-01,TiRex2,2.4466378348214284,63.66913298294066,51.807652972993395,0.4744069549362267,0.45182198641443866,0.7568422347359035,0.8809523809523809,,152.14434314909437,,18.206520510350586,0,1,1,102.7587890625,2175.9214248657227,170257.85678157405,2875.0,37,0,7,42,6,Intermittent
