Product_Group_Code,Product_Group,SKU_Description,SKU,History_Months,Zero_Demand_Share,Recent_3M_Mean,Selected_Model,Validation_ME,Validation_RMSE,Validation_MAE,Validation_MASE,Validation_RMSSE,Mean_Forecast,Mean_PI95_Width,Review_Intermittent,Review_Short_History,Review_Wide_Interval,Review_Note,Demand_Profile
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,36,0,453.3333333333333,Seasonal_Naive,20.583333333333336,46.655653462361876,37.58333333333333,NA,NA,467.1666666666667,195.80520871503313,FALSE,FALSE,FALSE,No automatic review flag. Validate business events before release.,Seasonal
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,36,0,593.3333333333334,Seasonal_Naive,-11.583333333333334,61.98991853519409,50.583333333333336,NA,NA,558.3333333333334,253.83614557328616,FALSE,FALSE,FALSE,No automatic review flag. Validate business events before release.,Seasonal
BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,36,0,705.6666666666666,ARIMA,10.290160090657128,64.45479085847539,50.734472262935384,NA,NA,684.7910837031711,256.83958619378075,FALSE,FALSE,FALSE,No automatic review flag. Validate business events before release.,Seasonal
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,36,0,970.6666666666666,Naive,41.16666666666667,115.23815918927781,91.33333333333334,NA,NA,909,746.086929861012,FALSE,FALSE,FALSE,No automatic review flag. Validate business events before release.,Seasonal
BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,36,0,1061.3333333333333,Drift,24.239130434782584,125.97542168337829,106.97101449275361,NA,NA,1012.2714285714286,1326.9264109009393,FALSE,FALSE,FALSE,No automatic review flag. Validate business events before release.,Seasonal
BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,36,0,1240.3333333333333,Seasonal_Naive,69,103.00970828033637,89,NA,NA,1109.5,354.1565073683483,FALSE,FALSE,FALSE,No automatic review flag. Validate business events before release.,Seasonal
BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,36,0,1317.6666666666667,Seasonal_Naive,3.5,116.84676575184555,106.83333333333333,NA,NA,1295,515.2431815953796,FALSE,FALSE,FALSE,No automatic review flag. Validate business events before release.,Seasonal
BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,36,0,1507.6666666666667,Drift,41.713768115942,158.90056107918286,138.46014492753616,NA,NA,1450.557142857143,1957.3412878883341,FALSE,FALSE,FALSE,No automatic review flag. Validate business events before release.,Seasonal
CNV,Conveying Components,Conveying Components Core,CNV-01,36,0,333,Seasonal_Naive,32.58333333333333,51.08897467490743,40.91666666666667,NA,NA,362.5,157.31890762225203,FALSE,FALSE,FALSE,No automatic review flag. Validate business events before release.,Seasonal
CNV,Conveying Components,Conveying Components Compact,CNV-02,36,0,455.3333333333333,Seasonal_Naive,-2.916666666666665,68.97644525488393,57.58333333333333,NA,NA,430.4166666666667,273.10628873914766,FALSE,FALSE,FALSE,No automatic review flag. Validate business events before release.,Seasonal
