Month,Product_Group_Code,Product_Group,SKU_Description,SKU,Selected_Model,Forecast_Units,PI80_Lower_Units,PI80_Upper_Units,PI95_Lower_Units,PI95_Upper_Units,Demand_Profile
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,437,372.98492784819587,501.01507215180413,339.09739564248343,534.9026043575166,Seasonal
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,474,409.98492784819587,538.0150721518041,376.09739564248343,571.9026043575166,Seasonal
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,549,484.98492784819587,613.0150721518041,451.09739564248343,646.9026043575166,Seasonal
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,512,447.98492784819587,576.0150721518041,414.09739564248343,609.9026043575166,Seasonal
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,526,461.98492784819587,590.0150721518041,428.09739564248343,623.9026043575166,Seasonal
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,537,472.98492784819587,601.0150721518041,439.09739564248343,634.9026043575166,Seasonal
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,411,346.98492784819587,475.01507215180413,313.09739564248343,508.90260435751657,Seasonal
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,407,342.98492784819587,471.01507215180413,309.09739564248343,504.90260435751657,Seasonal
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,393,328.98492784819587,457.01507215180413,295.09739564248343,490.90260435751657,Seasonal
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,443,378.98492784819587,507.01507215180413,345.09739564248343,540.9026043575166,Seasonal
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,433,368.98492784819587,497.01507215180413,335.09739564248343,530.9026043575166,Seasonal
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,484,419.98492784819587,548.0150721518041,386.09739564248343,581.9026043575166,Seasonal
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,571,488.01273280600833,653.9872671939917,444.0819272133569,697.918072786643,Seasonal
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,573,490.01273280600833,655.9872671939917,446.0819272133569,699.918072786643,Seasonal
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,607,524.0127328060083,689.9872671939917,480.0819272133569,733.918072786643,Seasonal
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,559,476.01273280600833,641.9872671939917,432.0819272133569,685.918072786643,Seasonal
