Part_ID,Location,History_Start,History_End,Period_Count,Complete_History,Mean_Demand,Zero_Share,Demand_CV,XYZ,XYZ_Boundary_Distance,ADI,CV2_Nonzero_Demand,Demand_Pattern,ADI_Boundary_Distance,CV2_Boundary_Distance,Approved_Unit_Cost_Base,Annualized_Usage_Units,Annual_Usage_Value,Criticality,Lifecycle_Status,Rank,Annual_Usage_Value_Share,Cumulative_Annual_Usage_Value_Share,Usage_Value_ABC,Usage_Value_ABC_Boundary_Distance,Segmentation_Status,ABC_XYZ
PCK-07,PLANT-01,2023-07,2026-06,36,Yes,270.8888888888889,0.0,1.0834778408090522,Z,0.08347784080905218,1.0,1.1739242315242457,Erratic,0.32000000000000006,0.6839242315242458,638.4,3250.666666666667,2075225.6,High,Active,1,0.04416979348464265,0.04416979348464265,A,0.7558302065153574,Valid,AZ
DRV-05,PLANT-01,2023-07,2026-06,36,Yes,305.52777777777777,0.0,0.16003921137468993,X,0.3399607886253101,1.0,0.025612549177432685,Smooth,0.32000000000000006,0.4643874508225673,425.27,3666.333333333333,1559181.5766666664,Critical,Active,2,0.03318614045934388,0.07735593394398654,A,0.7226440660560135,Valid,AX
DRV-07,PLANT-01,2023-07,2026-06,36,Yes,259.1388888888889,0.3888888888888889,0.8240871629953733,Y,0.17591283700462668,1.6363636363636365,0.026128676352855325,Intermittent,0.3163636363636364,0.4638713236471447,481.44,3109.666666666667,1497117.9200000002,Critical,Active,3,0.031865156900800454,0.10922109084478698,A,0.690778909155213,Valid,AY
DRV-08,PLANT-01,2023-07,2026-06,36,Yes,221.22222222222223,0.5555555555555556,1.940270597301953,Z,0.940270597301953,2.25,1.117622218113101,Lumpy,0.9299999999999999,0.627622218113101,509.52,2654.666666666667,1352605.76,Critical,Active,4,0.028789311911600418,0.1380104027563874,A,0.6619895972436126,Valid,AZ
DRV-06,PLANT-01,2023-07,2026-06,36,Yes,242.13888888888889,0.3333333333333333,0.7244334224016231,Y,0.22443342240162312,1.5,0.016535855661685656,Intermittent,0.17999999999999994,0.47346414433831435,453.36,2905.6666666666665,1317313.04,Critical,Active,5,0.02803812989364954,0.16604853265003694,A,0.6339514673499631,Valid,AY
PCK-08,PLANT-01,2023-07,2026-06,36,Yes,161.22222222222223,0.4722222222222222,2.010317970061736,Z,1.010317970061736,1.894736842105263,1.6607274576197126,Lumpy,0.574736842105263,1.1707274576197126,675.64,1934.6666666666667,1307138.1866666668,High,Active,6,0.02782156492333024,0.1938700975733672,A,0.6061299024266329,Valid,AZ
HYP-04,PLANT-01,2023-07,2026-06,36,Yes,314.1388888888889,0.027777777777777776,1.0501038022283118,Z,0.05010380222831179,1.0285714285714285,1.0443091622472926,Erratic,0.2914285714285716,0.5543091622472927,342.14,3769.666666666667,1289753.7533333334,High,Active,7,0.027451548848846156,0.22132164642221336,A,0.5786783535777866,Valid,AZ
DRV-04,PLANT-01,2023-07,2026-06,36,Yes,243.66666666666666,0.027777777777777776,1.1962843334663822,Z,0.1962843334663822,1.0285714285714285,1.3635657563166306,Erratic,0.2914285714285716,0.8735657563166306,397.19,2924.0,1161383.56,High,Active,8,0.02471927485939798,0.24604092128161134,A,0.5539590787183887,Valid,AZ
HYP-07,PLANT-01,2023-07,2026-06,36,Yes,231.02777777777777,0.5,1.0137000913926926,Z,0.01370009139269257,2.0,0.01379393764477667,Intermittent,0.6799999999999999,0.47620606235522334,414.72,2772.333333333333,1149742.0799999998,Critical,Active,9,0.02447149371817863,0.27051241499979,A,0.5294875850002101,Valid,AZ
CVL-06,PLANT-01,2023-07,2026-06,36,Yes,383.75,0.027777777777777776,1.155817976116071,Z,0.15581797611607096,1.0285714285714285,1.271028660748799,Erratic,0.2914285714285716,0.7810286607487991,220.69,4605.0,1016277.45,Critical,Active,10,0.021630788040393895,0.2921432030401839,A,0.5078567969598162,Valid,AZ
